cdid,hy,p_id,city_d,model_variant,year,firm_name_unique,sales,nameplate,displacement,power,weight,msrp,AT,sub_brand,suv,mpv,ev,country,petrol,length,cost_unit,width,height,range,population,quota_cost,quota_d,subsidy_local_net,s_c,import,size,ln_size,ln_length,ln_width,ln_height,ln_cost_unit,ln_power,ln_weight,prod_id,category,mkt_share,ln_p_net,mktn,firm_d,boc,euro,usa,korea,japan,brand_d,blp_firm_num,blp_mkt_num,blp_firm_power,blp_mkt_power,blp_firm_weight,blp_mkt_weight,blp_firm_length,blp_mkt_length,blp_firm_width,blp_mkt_width,blp_firm_height,blp_mkt_height,blp_firm_cost_unit,blp_mkt_cost_unit,blp_firm_size,blp_mkt_size,iv_mkt_length,iv_mkt_power,iv_mkt_cost_unit,iv_mkt_width,iv_mkt_weight,iv_mkt_height,iv_mkt_size,iv_mkt_msrp_hat,iv_local_length,iv_local_power,iv_local_cost_unit,iv_local_width,iv_local_weight,iv_local_height,iv_local_size,iv_local_msrp_hat,kw_100km,fuel_consumption,hhinc_mu,hhinc_sigma,hhinc_sigma_prov,odds,local_brand,etc,tesla,iv_cost,ln_c_w,survey_income,trprice,steel_hy,unwanted
1,1,1,1,655,2016,一汽—大众汽车有限公司,296,Q3,1.395,110,1.5,23.42,0,一汽大众(奥迪),1,0,0,Germany,1,4398,34.23746,1841,1591,0,1450,84638.87,1,0,0,0,8.096718,2.091459,8.388906,7.518064,7.372118,3.53332,4.70048,0.4054651,1,2,2.04e-05,3.462101,17,1,4,1,0,0,0,6,3.713572,6.779922,8.502485,11.54712,4.120256,7.14814,12.1534,15.2077,11.2181,14.28134,11.01469,14.14626,7.353302,10.46501,5.843277,8.895431,18.41308,14.08213,11.34559,15.32252,4.213145,16.55072,6.225518,10.68457,14.44544,10.33196,7.591421,11.32784,0.567754,12.2721,2.586877,7.121316,0,6.3,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,1.02926,0,0,21.52524,3054.4,0
1,1,1,1,617,2016,一汽—大众汽车有限公司,1077,A6L,1.798,140,1.75,41.53,0,一汽大众(奥迪),0,0,0,Germany,1,5036,37.52277,1874,1480,0,1450,84235.99,1,0,0,0,9.437464,2.244687,8.524367,7.53583,7.299798,3.624948,4.941642,0.5596158,2,1,7.43e-05,3.911094,17,1,4,1,0,0,0,6,3.713572,6.779922,8.496378,11.54712,4.116188,7.14814,12.15003,15.2077,11.21765,14.28134,11.01651,14.14626,7.351196,10.46501,5.839383,8.895431,19.3631,14.40301,11.05124,15.81831,4.8809,16.98113,7.403807,10.99257,13.05375,9.779367,7.57343,11.00243,-0.1477138,12.55215,1.256925,6.437449,0,6.5,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,2.022026,0,0,34.15872,3054.4,0
1,1,1,1,277,2016,一汽—大众汽车有限公司,97,捷达,1.598,81,1.16,9.56,1,一汽大众,0,0,0,Germany,1,4487,35.79095,1706,1470,0,1450,83886.18,1,0,0,0,7.654822,2.035336,8.408939,7.441907,7.293018,3.577695,4.394449,0.14842,3,1,6.69e-06,2.887513,12,1,4,1,0,0,0,5,3.713572,6.779922,8.508354,11.54712,4.125762,7.14814,12.15293,15.2077,11.21991,14.28134,11.01668,14.14626,7.352307,10.46501,5.844558,8.895431,18.17726,14.66005,11.18491,16.34375,5.049913,17.05459,6.710389,11.21731,14.46525,10.11866,7.583255,10.33296,0.4446249,12.51072,2.057587,6.710386,0,6.2,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,1.511904,0,26838.4,8.193662,3054.4,0
1,1,1,1,493,2016,一汽—大众汽车有限公司,2131,高尔夫,1.395,96,1.28,15.49,0,一汽大众,0,0,0,Germany,1,4255,31.5202,1799,1452,0,1450,83908.26,1,0,0,0,7.654745,2.035326,8.35585,7.494986,7.280697,3.450629,4.564348,0.2468601,19,1,0.000147,3.173076,15,1,4,1,0,0,0,5,3.713572,6.779922,8.505323,11.54712,4.123823,7.14814,12.15415,15.2077,11.21866,14.28134,11.01697,14.14626,7.355041,10.46501,5.844558,8.895431,18.90189,14.29463,11.66753,15.09257,4.621716,17.18982,6.710492,10.99339,13.48695,10.92562,7.12111,11.52185,0.5039992,12.89771,2.057721,7.041614,0,5.8,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,1.00609,0,22132.5,13.52871,3054.4,0
1,1,1,1,676,2016,一汽—大众汽车有限公司,16,Q5,1.984,132,1.86,35.85,0,一汽大众(奥迪),1,0,0,Germany,1,4629,43.96425,1898,1655,0,1450,83251.56,1,0,0,0,8.785842,2.173141,8.440096,7.548556,7.411556,3.783377,4.882802,0.6205765,34,2,1.1e-06,3.788162,1,1,4,1,0,0,0,6,3.713572,6.779922,8.498011,11.54712,4.114392,7.14814,12.15218,15.2077,11.21733,14.28134,11.01363,14.14626,7.347053,10.46501,5.841278,8.895431,18.11775,14.22999,11.23343,16.18713,5.271348,16.83321,6.545905,11.08516,14.42858,9.971256,7.096953,10.37583,-0.558653,12.56889,2.334008,6.171061,0,8.2,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,2.454903,0,31840,33.19084,3054.4,0
1,1,1,1,243,2016,一汽—大众汽车有限公司,15,捷达,1.395,66,1.12,7.99,0,一汽大众,0,0,0,Germany,1,4487,31.92004,1706,1470,0,1450,83205.4,1,0,0,0,7.654822,2.035336,8.408939,7.441907,7.293018,3.463234,4.189655,0.1133287,37,1,1.03e-06,2.791812,12,1,4,1,0,0,0,5,3.713572,6.779922,8.511376,11.54712,4.126408,7.14814,12.15293,15.2077,11.21991,14.28134,11.01668,14.14626,7.354785,10.46501,5.844558,8.895431,18.17726,15.04905,11.61891,16.34375,5.191449,17.05459,6.710389,11.44982,14.46525,10.26101,7.152402,10.33296,0.0808221,12.51072,2.057587,6.871058,0,5.9,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,0.9837995,0,26838.4,6.855713,3054.4,0
1,1,1,1,635,2016,一汽—大众汽车有限公司,186,A6L,2.498,140,1.8,43.28,1,一汽大众(奥迪),0,0,0,Germany,1,5015,40.2112,1874,1455,0,1450,82689.32,1,0,0,0,9.39811,2.240509,8.520188,7.53583,7.282761,3.694146,4.941642,0.5877867,38,1,1.28e-05,3.942532,6,1,4,1,0,0,0,6,3.713572,6.779922,8.496378,11.54712,4.115372,7.14814,12.15014,15.2077,11.21765,14.28134,11.01692,14.14626,7.349469,10.46501,5.839497,8.895431,19.29652,14.40301,10.99272,15.81831,5.060855,17.16713,7.354999,11.25245,13.15089,9.779367,7.4667,11.00243,-0.361109,12.81113,1.410574,6.101509,0,7.5,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,3.719576,0,0,35.76644,3054.4,0
1,1,1,1,743,2016,一汽轿车股份有限公司,32,H7,1.995,150,1.8,29.98,1,一汽轿车,0,0,0,China,1,5095,52.54264,1875,1485,0,1450,84087.38,1,0,0,0,9.553125,2.256868,8.536015,7.536364,7.30317,3.961625,5.010635,0.5877867,46,1,2.21e-06,3.647764,14,3,1,0,0,0,0,8,2.639057,6.810143,7.380879,11.57835,3.03375,7.17949,11.09874,15.2378,10.14796,14.31157,9.974971,14.17416,6.382551,10.49179,4.792269,8.925511,19.543,14.65471,12.23203,15.83405,5.060855,16.94515,7.543194,11.30613,12.8761,9.51709,6.014006,11.04661,-0.361109,12.59864,1.371459,6.107621,0,9.8,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,2.508856,0,0,24.7413,3054.4,0
1,1,1,1,815,2016,一汽轿车股份有限公司,47,奔腾B30,1.598,83,1.23,6.98,0,一汽轿车,0,0,0,China,1,4625,35.8878,1790,1500,0,1450,83310.17,1,0,0,0,8.27875,2.113692,8.439232,7.489971,7.313221,3.580397,4.41884,0.2070142,53,1,3.24e-06,2.728573,13,3,1,0,0,0,0,8,2.639057,6.810143,7.421776,11.57835,3.060817,7.17949,11.10583,15.2378,10.15128,14.31157,9.974272,14.17416,6.410322,10.49179,4.802783,8.925511,18.11292,14.60813,11.17595,15.14775,4.797807,16.84155,6.163421,11.181,14.41236,10.1491,7.61083,11.63702,0.5633722,13.02535,2.443524,6.677145,0,6.4,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,1.493636,0,0,5.990204,3054.4,0
1,1,1,1,856,2016,一汽轿车股份有限公司,201,6,1.999,108,1.427,15.98,1,一汽马自达,0,0,0,Japan,1,4670,43.82243,1780,1435,0,1450,83473.62,1,0,0,0,8.3126,2.117772,8.448915,7.484369,7.26892,3.780146,4.682131,0.3555743,55,1,1.39e-05,3.191602,12,3,6,0,0,0,1,9,2.639057,6.810143,7.406711,11.57835,3.051545,7.17949,11.10515,15.2378,10.15168,14.31157,9.977296,14.17416,6.397188,10.49179,4.802505,8.925511,18.1866,14.0997,11.21932,15.24629,4.241086,17.31848,6.164982,10.70809,14.43744,10.4797,7.000878,11.42664,0.8190725,13.25147,2.505034,7.155465,0,8.1,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,2.499372,0,14038.8,13.70536,3054.4,0
1,1,1,1,988,2016,上汽大众汽车有限公司,24,帕萨特领驭,1.781,110,1.522,22.88,1,上汽大众,0,0,0,Germany,1,4789,54.34518,1765,1470,0,1450,85005.63,1,0,0,0,8.452585,2.134472,8.474077,7.475906,7.293018,3.995356,4.70048,0.4200253,63,1,1.66e-06,3.446189,1,6,4,1,0,0,0,11,4.248495,6.746412,8.841593,11.52771,4.532847,7.123084,12.6585,15.17613,11.72983,14.24967,11.56487,14.11381,7.835385,10.43646,6.325735,8.865642,18.52585,14.08213,12.42477,15.44459,4.231532,17.05459,6.214964,10.66521,14.31788,10.33196,5.885404,11.13346,0.4838967,12.51072,2.54308,6.900134,0,10,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,2.004016,0,20630.2,19.8164,3054.4,0
1,1,1,1,1151,2016,上汽大众汽车有限公司,6842,朗逸,1.598,81,1.265,15.19,1,上汽大众,0,0,0,Germany,1,4605,36.99431,1765,1460,0,1450,84255.88,1,0,0,0,8.127825,2.095293,8.434898,7.475906,7.286192,3.610764,4.394449,0.2350721,64,1,0.0004719,3.161907,4,6,4,1,0,0,0,11,4.248495,6.746412,8.845778,11.52771,4.535606,7.123084,12.65908,15.17613,11.72983,14.24967,11.56497,14.11381,7.842224,10.43646,6.326315,8.865642,18.09425,14.66005,11.08545,15.44459,4.673587,17.12942,6.206922,11.07626,14.3733,10.11866,7.592529,11.13346,0.4718955,12.59158,2.648328,6.868289,0,6.9,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,1.523628,0,0,10.69076,3054.4,0
1,1,1,1,1340,2016,上汽大众汽车有限公司,22,途观,1.39,96,1.5,19.98,0,上汽大众,1,0,0,Germany,1,4506,39.83186,1809,1685,0,1450,83606.14,1,0,0,0,8.151354,2.098184,8.413165,7.500529,7.429521,3.684667,4.564348,0.4054651,74,2,1.52e-06,3.344296,2,6,4,1,0,0,0,11,4.248495,6.746412,8.843616,11.52771,4.533083,7.123084,12.6594,15.17613,11.72947,14.24967,11.56283,14.11381,7.841108,10.43646,6.326273,8.865642,18.14283,14.29463,10.9883,15.07582,4.213145,17.04524,6.194921,10.7578,14.56924,10.92562,7.445875,11.57688,0.567754,12.44675,2.611134,7.362636,0,6.9,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,0.9840325,0,29342.7,18.49283,3054.4,0
1,1,1,1,1119,2016,上汽大众汽车有限公司,486,朗逸,1.395,96,1.27,13.29,0,上汽大众,0,0,0,Germany,1,4605,30.56051,1765,1460,0,1450,83595.28,1,0,0,0,8.127825,2.095293,8.434898,7.475906,7.286192,3.419709,4.564348,0.2390169,88,1,3.35e-05,3.074984,12,6,4,1,0,0,0,11,4.248495,6.746412,8.843616,11.52771,4.535552,7.123084,12.65908,15.17613,11.72983,14.24967,11.56497,14.11381,7.844748,10.43646,6.326315,8.865642,18.09425,14.29463,11.78415,15.44459,4.656178,17.12942,6.206922,11.00503,14.3733,10.92562,6.994277,11.13346,0.4537764,12.59158,2.648328,7.010145,0,5.7,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,0.9961637,0,0,12.4947,3054.4,0
1,1,1,1,974,2016,上汽大众汽车有限公司,12,帕萨特,1.798,118,1.52,21.58,1,上汽大众,0,0,0,Germany,1,4872,43.4281,1834,1484,0,1450,84545,1,0,0,0,8.935248,2.190004,8.49126,7.514255,7.302496,3.771107,4.770685,0.4187103,89,1,8.28e-07,3.402347,2,6,4,1,0,0,0,11,4.248495,6.746412,8.840435,11.52771,4.532868,7.123084,12.65823,15.17613,11.72927,14.24967,11.56474,14.11381,7.839693,10.43646,6.324871,8.865642,18.81318,14.06478,11.18157,15.23719,4.229364,16.9523,6.742317,10.66398,13.65437,10.34811,7.184109,11.56503,0.457864,12.57846,1.983314,6.823095,0,8.1,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,2.031826,0,0,18.51459,3054.4,0
1,1,1,1,945,2016,上汽大众汽车有限公司,216,YETI,1.798,118,1.59,22.38,0,上汽大众,1,0,0,Czech,1,4275,42.74039,1793,1682,0,1450,82363.06,1,0,0,0,7.665075,2.036674,8.360539,7.491645,7.427739,3.755145,4.770685,0.463734,96,2,1.49e-05,3.421533,4,6,2,1,0,0,0,11,4.248495,6.746412,8.840435,11.52771,4.532115,7.123084,12.66013,15.17613,11.7296,14.24967,11.56286,14.11381,7.839964,10.43646,6.327143,8.865642,18.83212,14.06478,11.12181,15.12545,4.357469,17.02308,6.696657,10.66417,13.62122,10.34811,7.180687,11.56214,0.2931694,12.50453,2.037657,6.815931,0,7.9,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,1.962628,0,0,20.75039,3054.4,0
1,1,1,1,948,2016,上汽大众汽车有限公司,329,凌渡,1.395,96,1.325,15.99,0,上汽大众,0,0,0,Germany,1,4598,32.52332,1826,1425,0,1450,83876.67,1,0,0,0,8.395948,2.127749,8.433376,7.509883,7.261927,3.481957,4.564348,0.2814125,107,1,2.27e-05,3.193667,17,6,4,1,0,0,0,11,4.248495,6.746412,8.843616,11.52771,4.534962,7.123084,12.65911,15.17613,11.72933,14.24967,11.5653,14.11381,7.843978,10.43646,6.325836,8.865642,18.08994,14.29463,11.5459,15.15767,4.475003,17.39371,6.186572,10.93752,14.46782,10.92562,7.3303,11.67754,0.652535,13.33956,2.440622,7.215855,0,5.8,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,1.005088,0,0,13.70041,3054.4,0
1,1,1,1,1085,2016,上汽大众汽车有限公司,254,晶锐,1.395,66,1.092,7.99,1,上汽大众,0,0,0,Czech,1,3993,33.15056,1732,1487,0,1450,83846.56,1,0,0,0,6.915876,1.93382,8.292298,7.457032,7.304516,3.50106,4.189655,0.0880109,120,1,1.75e-05,2.795735,14,6,2,1,0,0,0,11,4.248495,6.746412,8.847935,11.52771,4.537458,7.123084,12.66103,15.17613,11.73009,14.24967,11.56471,14.11381,7.843732,10.43646,6.328481,8.865642,19.72733,15.04905,11.47096,15.95611,5.28827,16.93093,7.655719,11.42475,12.21508,10.26101,7.372088,10.63554,-0.0506661,12.63096,0.7422284,6.869921,0,6.1,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,1.004133,0,12637.7,6.858316,3054.4,0
1,1,1,1,1148,2016,上汽大众汽车有限公司,2500,朗逸,1.598,81,1.245,12.19,1,上汽大众,0,0,0,Germany,1,4605,35.8878,1765,1460,0,1450,83864.16,1,0,0,0,8.127825,2.095293,8.434898,7.475906,7.286192,3.580397,4.394449,0.2191355,121,1,0.0001724,3.024146,17,6,4,1,0,0,0,11,4.248495,6.746412,8.845778,11.52771,4.53582,7.123084,12.65908,15.17613,11.72983,14.24967,11.56497,14.11381,7.842658,10.43646,6.326315,8.865642,18.09425,14.66005,11.17595,15.44459,4.744163,17.12942,6.206922,11.10068,14.3733,10.11866,7.61083,11.13346,0.513135,12.59158,2.648328,6.770354,0,6.4,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,1.511205,0,0,10.4421,3054.4,0
